Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2
,0.64586,0.48337,0.38865,0.36612,0.5028,NaN,0.45222,NaN
dnc,0.28048,0.19605,0.28316,0.22931,0.43895,NaN,0.41803,0.31891
,0.25264,NaN,0.21857,0.4116,0.36425,NaN,NaN,NaN
Marf,0.48701,0.33366,0.30231,0.24266,0.57274,0.41855,0.51597,0.41046
Rh4,1.568,0.25721,0.086271,1.1285,NaN,NaN,NaN,0.77382
CG7766,0.22657,NaN,0.52881,0.21784,0.35653,NaN,NaN,NaN
Gycalpha99B,0.238,NaN,0.25724,0.24528,NaN,NaN,0.50753,0.44707
Pde1c,NaN,0.36959,NaN,0.29074,NaN,NaN,NaN,NaN
AGO1,0.45315,1.0241,0.30132,NaN,0.2919,0.80071,0.37062,0.39691
Glg1,NaN,NaN,NaN,NaN,NaN,NaN,0.46665,NaN
CG34325-RA,NaN,NaN,0.38249,NaN,0.27863,0.31836,NaN,NaN
shot,NaN,NaN,0.40375,NaN,0.21691,0.16149,NaN,NaN
mdy,0.30333,0.42958,0.35563,0.31164,0.35439,0.51723,0.29735,0.20575
Rbp,NaN,0.29389,0.99541,0.59453,1.0277,NaN,0.9685,0.66435
Mnn1,NaN,NaN,NaN,0.93572,NaN,NaN,NaN,NaN
,0.32328,0.34746,NaN,0.42539,0.22832,0.69088,0.23584,0.24397
,0.22724,0.31105,0.38798,0.3734,NaN,0.30319,0.3152,0.2457
CG14757,NaN,NaN,NaN,NaN,1.1283,NaN,NaN,NaN
,0.73565,2.4687,0.83276,1.3944,NaN,NaN,1.4551,1.2778
Srp72,0.21415,0.43257,0.43964,0.47622,0.357,0.18819,0.26518,0.31182
pix,0.29769,0.99611,0.3906,0.31133,0.23315,0.14215,0.19119,0.63112
Cyp12c1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RabX4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46792
Spn55B,NaN,1.0576,0.72466,0.698,NaN,0.98668,0.75899,0.5825
Hmgs,0.36182,0.40518,0.43048,0.50633,0.39574,0.47724,0.38701,0.37123
Lpin,0.75571,0.32721,NaN,0.42407,0.26832,0.47285,0.78989,0.38241
,0.36397,0.45308,0.46169,NaN,0.95011,NaN,NaN,NaN
,0.60433,0.77303,0.72657,0.66274,11.841,0.79959,NaN,NaN
RagC-D,NaN,0.7243,0.80228,0.84023,NaN,0.36547,0.71043,0.73451
crb,NaN,NaN,NaN,NaN,0.43513,NaN,NaN,NaN
CG1311,NaN,0.77008,0.61801,1.3753,NaN,0.42023,0.6344,0.54686
CkIalpha,0.46556,0.39982,NaN,0.53325,0.72018,0.38933,0.69706,0.54385
Spt5,0.26705,0.68532,NaN,0.39533,0.33608,NaN,0.2221,0.2742
ApepP,0.24816,0.30039,0.47216,0.36743,0.26699,0.1895,0.41174,0.23489
P5cr,0.47191,0.4512,0.50725,0.39702,0.44229,0.40946,0.54195,0.45282
CG18501,1.1354,1.4851,0.65801,0.57381,NaN,NaN,NaN,1.1647
Naam,0.70889,NaN,0.59812,0.69563,0.6198,0.6401,0.49203,NaN
CG10915,0.54846,0.40103,1.0596,0.56979,0.62678,NaN,1.0096,0.34505
Nup54,NaN,0.41154,0.63886,0.6084,0.78776,0.46438,0.4152,NaN
CG3800,0.16701,0.17902,0.43091,NaN,0.35446,0.18567,1.0819,NaN
Pdp,1.2158,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7441-RA,0.50837,0.53339,NaN,NaN,0.52777,NaN,0.76488,0.79845
Hml,0.31591,0.47131,0.37983,NaN,0.18747,0.1529,0.32593,0.32237
U2af50,0.41298,0.44408,0.7541,0.58457,NaN,0.48338,0.40906,0.3449
amon,0.63945,0.7798,0.40445,0.56068,0.75194,NaN,NaN,0.71787
Sec61alpha,0.33477,NaN,NaN,NaN,0.33782,NaN,NaN,0.22767
Mulk,0.27747,0.38469,0.60614,0.40928,0.34233,0.56635,0.28571,0.42462
CHORD,0.32054,0.34476,0.87966,NaN,NaN,NaN,0.24569,0.3153
,0.56569,0.45746,NaN,0.49858,NaN,NaN,0.88765,0.44255
