Gene names, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2
,0.38865,0.36612,0.36247,0.26078,NaN,NaN
dnc,0.28316,0.22931,0.19095,0.23681,0.38392,0.2304
,0.21857,0.4116,0.19204,0.15234,0.73503,0.27412
Marf,0.30231,0.24266,0.31884,0.40584,0.34934,0.22394
Rh4,0.086271,1.1285,0.51141,0.39017,NaN,NaN
CG7766,0.52881,0.21784,0.10529,0.21971,0.45359,0.40661
Gycalpha99B,0.25724,0.24528,0.2829,0.37623,NaN,0.32339
Pde1c,NaN,0.29074,0.31948,NaN,NaN,NaN
AGO1,0.30132,NaN,0.40066,1.5763,0.19819,0.44693
Glg1,NaN,NaN,NaN,NaN,0.36946,NaN
CG34325-RA,0.38249,NaN,NaN,NaN,0.34244,0.35883
shot,0.40375,NaN,0.9665,0.44284,NaN,NaN
mdy,0.35563,0.31164,0.34778,0.39045,0.30822,0.36665
Rbp,0.99541,0.59453,0.36184,0.38636,NaN,0.31855
Mnn1,NaN,0.93572,NaN,NaN,1.2705,NaN
,NaN,0.42539,0.39797,NaN,0.60292,0.35368
,0.38798,0.3734,0.34428,NaN,0.38509,0.32626
CG14757,NaN,NaN,NaN,NaN,NaN,NaN
,0.83276,1.3944,NaN,0.87377,1.0768,1.3239
Srp72,0.43964,0.47622,0.26213,0.30612,0.31779,0.32939
pix,0.3906,0.31133,0.38256,0.38301,NaN,0.49162
Cyp12c1,NaN,NaN,0.167,NaN,0.3381,NaN
RabX4,NaN,NaN,NaN,NaN,NaN,NaN
Spn55B,0.72466,0.698,0.75266,0.91979,0.49145,0.48984
Hmgs,0.43048,0.50633,0.4003,0.50564,0.49475,0.4768
Lpin,NaN,0.42407,NaN,0.30422,0.35845,0.48248
,0.46169,NaN,0.46032,0.32854,1.503,0.70738
,0.72657,0.66274,0.81989,0.50113,0.98464,0.7207
RagC-D,0.80228,0.84023,0.53237,NaN,0.6619,NaN
crb,NaN,NaN,NaN,NaN,NaN,NaN
CG1311,0.61801,1.3753,0.67829,NaN,0.53465,0.58153
