Gene names,Alpha A30P_day_10, Alpha A53T_day_10, Control _day_10
,0.51825375,0.525980625,0.522117188
dnc,0.38877875,0.363693125,0.376235938
,0.3363475,0.32239625,0.329371875
Marf,0.4743175,0.46365375,0.468985625
Rh4,#DIV/0!,#DIV/0!,#DIV/0!
CG7766,0.32404,0.307795,0.3159175
Gycalpha99B,#DIV/0!,#DIV/0!,#DIV/0!
Pde1c,#DIV/0!,#DIV/0!,#DIV/0!
AGO1,0.594385,0.618425,0.606405
Glg1,#DIV/0!,#DIV/0!,#DIV/0!
CG34325-RA,#DIV/0!,#DIV/0!,#DIV/0!
shot,#DIV/0!,#DIV/0!,#DIV/0!
mdy,0.41847125,0.409801875,0.414136563
Rbp,0.8442475,0.75252125,0.798384375
Mnn1,#DIV/0!,#DIV/0!,#DIV/0!
,0.4285425,0.41301375,0.420778125
,0.29467875,0.290423125,0.292550938
CG14757,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Srp72,0.28528625,0.291631875,0.288459063
pix,0.3024625,0.35986875,0.331165625
Cyp12c1,#DIV/0!,#DIV/0!,#DIV/0!
RabX4,#DIV/0!,#DIV/0!,#DIV/0!
Spn55B,1.00441,1.013275,1.0088425
Hmgs,0.4232425,0.41661875,0.419930625
Lpin,0.41330375,0.434663125,0.423983438
,0.81471375,0.747015625,0.780864688
,4.91239125,4.208439375,4.560415313
RagC-D,0.4551775,0.50003125,0.477604375
crb,#DIV/0!,#DIV/0!,#DIV/0!
CG1311,0.5076925,0.55142375,0.529558125
CkIalpha,0.52423875,0.508980625,0.516609688
Spt5,0.37110625,0.388619375,0.379862813
ApepP,0.2397525,0.24550625,0.242629375
P5cr,0.434795,0.439255,0.437025
CG18501,#DIV/0!,#DIV/0!,#DIV/0!
Naam,0.649685,0.6595525,0.65461875
CG10915,0.58877125,0.569766875,0.579269063
Nup54,0.5724375,0.54562125,0.559029375
CG3800,0.2458025,0.23367125,0.239736875
Pdp,#DIV/0!,#DIV/0!,#DIV/0!
CG7441-RA,0.5260475,0.52518625,0.525616875
Hml,0.22604125,0.253969375,0.240005313
U2af50,0.4696675,0.46281125,0.466239375
amon,0.74136125,0.736071875,0.738716563
Sec61alpha,0.3370575,0.33667625,0.336866875
Mulk,0.423525,0.4081175,0.41582125
CHORD,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,0.49426125,0.485454375,0.489857813
torp4a,0.40813,0.4351025,0.42161625
rogdi,#DIV/0!,#DIV/0!,#DIV/0!
CG12321-RA,0.44614375,0.450313125,0.448228438
Drs;Drsl5,#DIV/0!,#DIV/0!,#DIV/0!
Psi,0.33976875,0.338963125,0.339365938
Myo31DF,0.26075625,0.279086875,0.269921563
,#DIV/0!,#DIV/0!,#DIV/0!
bel,0.29066625,0.287216875,0.288941563
,0.700935,0.701875,0.701405
eas,0.46529125,0.457174375,0.461232813
SelR,0.756665,0.7558275,0.75624625
JhI-26,#DIV/0!,#DIV/0!,#DIV/0!
EG:100G10.7,0.956065,0.991665,0.973865
Gtp-bp,0.44213125,0.424849375,0.433490313
,0.57821875,0.552633125,0.565425938
CG13601,#DIV/0!,#DIV/0!,#DIV/0!
Bap55,0.5586575,0.55899375,0.558825625
wuho,#DIV/0!,#DIV/0!,#DIV/0!
bsk,0.8610175,0.82440125,0.842709375
Rap2l,0.83438375,0.784890625,0.809637188
CG10306,0.4350475,0.44330125,0.439174375
Aats-gln,0.44166625,0.421564375,0.431615313
Dsk,#DIV/0!,#DIV/0!,#DIV/0!
,0.6866475,0.72356375,0.705105625
,0.43484875,0.418325625,0.426587188
Sodh-2,0.652295,0.6442575,0.64827625
Pdcd4,0.46681375,0.459458125,0.463135938
anon-35F/36A,0.7623575,0.76796125,0.765159375
svr,0.8913975,0.87974625,0.885571875
CG16912,0.89443125,0.893281875,0.893856563
Mtl,0.6520425,0.65355875,0.652800625
,0.79375,0.7928925,0.79332125
Idgf1,1.167425,1.1865875,1.17700625
twf,0.4256175,0.43896625,0.432291875
CkIIbeta,0.967775,1.0883125,1.02804375
,0.83274375,0.836888125,0.834815938
RanBP3,0.4250125,0.42108625,0.423049375
CadN,0.82176125,0.791766875,0.806764063
,#DIV/0!,#DIV/0!,#DIV/0!
,0.48979125,0.480356875,0.485074063
Ucp4A,#DIV/0!,#DIV/0!,#DIV/0!
Rpd3,0.52443375,0.535295625,0.529864688
UbcD4,0.4766875,0.45448375,0.465585625
CSN5,0.34674875,0.349343125,0.348045938
,1.52875,1.556575,1.5426625
Rab8,0.9630425,0.96328625,0.963164375
Gs1l,1.9635375,2.01590625,1.989721875
RpL23,0.29021,0.2822775,0.28624375
Irc,#DIV/0!,#DIV/0!,#DIV/0!
,1.5303375,1.54458125,1.537459375
Sac1,0.4275025,0.40607375,0.416788125
Paf-AHalpha,0.54232125,0.554481875,0.548401563
,0.76187375,0.839288125,0.800580938
GstD2,#DIV/0!,#DIV/0!,#DIV/0!
Ppt1,0.73901125,0.719069375,0.729040313
Sgt1,0.75394625,0.722884375,0.738415313
Arpc3A,0.6278875,0.63333125,0.630609375
