Gene names, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2,
,NaN,0.20518,0.63887,0.38143,
dnc,NaN,0.2204,0.22967,0.18324,
,0.18546,0.23775,NaN,0.87663,
Marf,NaN,0.25335,0.68891,0.50249,
Rh4,0.64731,0.26229,NaN,0.12322,
CG7766,NaN,0.26729,0.42157,0.26484,
Gycalpha99B,0.12757,0.27314,NaN,0.24157,
Pde1c,NaN,0.27413,NaN,0.21266,
AGO1,NaN,0.27589,0.63184,0.30407,
Glg1,NaN,0.28326,0.18882,0.1678,
CG34325-RA,0.20029,0.28615,NaN,0.42451,
shot,0.33396,0.2885,NaN,0.43157,
mdy,0.37235,0.2887,NaN,0.38803,
Rbp,NaN,0.29447,0.34716,0.32171,
Mnn1,1.5804,0.30278,NaN,0.55955,
,0.34581,0.31821,NaN,0.49486,
,NaN,0.31873,0.41302,0.32784,
CG14757,0.23393,0.32814,NaN,0.54726,
,NaN,0.34934,1.1718,1.2268,
Srp72,NaN,0.35693,0.47872,0.50406,
pix,NaN,0.36076,NaN,0.43634,
Cyp12c1,0.26569,0.36501,NaN,0.24594,
RabX4,NaN,0.37059,NaN,0.42269,
Spn55B,NaN,0.37398,0.38566,0.34867,
Hmgs,NaN,0.38804,0.63374,0.60201,
Lpin,NaN,0.39183,NaN,0.27338,
,0.34284,0.39201,NaN,0.52902,
,NaN,0.39662,0.53111,0.84179,
RagC-D,NaN,0.41381,0.74385,0.56367,
crb,NaN,0.42202,0.5878,0.44171,
CG1311,NaN,0.43054,NaN,0.45904,
CkIalpha,0.51096,0.44089,NaN,0.57893,
Spt5,0.29227,0.44769,NaN,0.36247,
ApepP,NaN,0.45206,0.68477,0.39315,
P5cr,NaN,0.46714,0.49843,0.36537,
CG18501,NaN,0.46735,0.68171,0.49731,
Naam,NaN,0.47645,1.0862,0.65908,
CG10915,NaN,0.47949,0.56746,0.52116,
Nup54,0.36988,0.48345,NaN,0.46233,
CG3800,NaN,0.49261,NaN,0.39395,
Pdp,NaN,0.50371,NaN,0.89484,
CG7441-RA,0.47717,0.50542,NaN,0.77242,
Hml,NaN,0.50752,0.35862,0.39933,
U2af50,NaN,0.50873,0.77927,0.47192,
amon,0.90172,0.51086,NaN,0.86689,
Sec61alpha,NaN,0.51783,NaN,0.4006,
Mulk,NaN,0.52019,0.49103,0.4849,
CHORD,NaN,0.53816,NaN,0.5564,
,NaN,0.53877,0.37876,0.47427,
,NaN,0.53956,NaN,0.59343,
