Gene names,Alpha A30P_day_1, Alpha A53T_day_1, Control _day_1
,0.564615,0.5028,0.5337075
dnc,0.238265,0.43895,0.3386075
,0.25264,0.36425,0.308445
Marf,0.410335,0.495645,0.45299
Rh4,0.912605,#DIV/0!,#DIV/0!
CG7766,0.22657,0.35653,0.29155
Gycalpha99B,0.238,#DIV/0!,#DIV/0!
Pde1c,0.36959,#DIV/0!,#DIV/0!
AGO1,0.738625,0.546305,0.642465
Glg1,#DIV/0!,#DIV/0!,#DIV/0!
CG34325-RA,#DIV/0!,0.298495,#DIV/0!
shot,#DIV/0!,0.1892,#DIV/0!
mdy,0.366455,0.43581,0.4011325
Rbp,0.29389,1.0277,0.660795
Mnn1,#DIV/0!,#DIV/0!,#DIV/0!
,0.33537,0.4596,0.397485
,0.269145,0.30319,0.2861675
CG14757,#DIV/0!,1.1283,#DIV/0!
,1.602175,#DIV/0!,#DIV/0!
Srp72,0.32336,0.272595,0.2979775
pix,0.6469,0.18765,0.417275
Cyp12c1,#DIV/0!,#DIV/0!,#DIV/0!
RabX4,#DIV/0!,#DIV/0!,#DIV/0!
Spn55B,1.0576,0.98668,1.02214
Hmgs,0.3835,0.43649,0.409995
Lpin,0.54146,0.370585,0.4560225
,0.408525,0.95011,0.6793175
,0.68868,6.320295,3.5044875
RagC-D,0.7243,0.36547,0.544885
crb,#DIV/0!,0.43513,#DIV/0!
CG1311,0.77008,0.42023,0.595155
CkIalpha,0.43269,0.554755,0.4937225
Spt5,0.476185,0.33608,0.4061325
ApepP,0.274275,0.228245,0.25126
P5cr,0.461555,0.425875,0.443715
CG18501,1.31025,#DIV/0!,#DIV/0!
Naam,0.70889,0.62995,0.66942
CG10915,0.474745,0.62678,0.5507625
Nup54,0.41154,0.62607,0.518805
CG3800,0.173015,0.270065,0.22154
Pdp,1.2158,#DIV/0!,#DIV/0!
CG7441-RA,0.52088,0.52777,0.524325
Hml,0.39361,0.170185,0.2818975
U2af50,0.42853,0.48338,0.455955
amon,0.709625,0.75194,0.7307825
Sec61alpha,0.33477,0.33782,0.336295
Mulk,0.33108,0.45434,0.39271
CHORD,0.33265,#DIV/0!,#DIV/0!
,0.511575,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,0.44142,0.511875,0.4766475
torp4a,0.569965,0.354185,0.462075
rogdi,#DIV/0!,0.60044,#DIV/0!
CG12321-RA,0.47116,0.437805,0.4544825
Drs;Drsl5,#DIV/0!,3.3724,#DIV/0!
Psi,0.334935,0.34138,0.3381575
Myo31DF,0.37074,0.224095,0.2974175
,0.75541,#DIV/0!,#DIV/0!
bel,0.26997,0.297565,0.2837675
,0.706575,0.699055,0.702815
eas,0.41659,0.481525,0.4490575
SelR,0.75164,0.75834,0.75499
JhI-26,0.78567,#DIV/0!,#DIV/0!
EG:100G10.7,1.169665,0.884865,1.027265
Gtp-bp,0.33844,0.476695,0.4075675
,0.424705,0.62939,0.5270475
CG13601,1.2845,#DIV/0!,#DIV/0!
Bap55,0.560675,0.557985,0.55933
wuho,0.33773,#DIV/0!,#DIV/0!
bsk,0.64132,0.93425,0.787785
Rap2l,0.537425,0.93337,0.7353975
CG10306,0.48457,0.41854,0.451555
Aats-gln,0.321055,0.48187,0.4014625
Dsk,3.3746,#DIV/0!,#DIV/0!
,0.908145,0.612815,0.76048
,0.33571,0.467895,0.4018025
Sodh-2,0.60407,0.66837,0.63622
Pdcd4,0.42268,0.481525,0.4521025
anon-35F/36A,0.79598,0.75115,0.773565
svr,0.82149,0.9147,0.868095
CG16912,0.887535,0.89673,0.8921325
Mtl,0.66114,0.64901,0.655075
,0.788605,0.795465,0.792035
Idgf1,1.2824,1.1291,1.20575
twf,0.50571,0.39892,0.452315
CkIIbeta,1.691,0.7267,1.20885
,0.85761,0.824455,0.8410325
RanBP3,0.401455,0.432865,0.41716
CadN,0.641795,0.88175,0.7617725
,#DIV/0!,#DIV/0!,#DIV/0!
,0.433185,0.50866,0.4709225
Ucp4A,#DIV/0!,#DIV/0!,#DIV/0!
Rpd3,0.589605,0.50271,0.5461575
UbcD4,0.343465,0.521095,0.43228
CSN5,0.362315,0.34156,0.3519375
,1.6957,1.4731,1.5844
Rab8,0.964505,0.962555,0.96353
Gs1l,2.27775,1.8588,2.068275
RpL23,0.242615,0.306075,0.274345
Irc,#DIV/0!,#DIV/0!,#DIV/0!
,1.6158,1.50185,1.558825
Sac1,0.29893,0.47036,0.384645
Paf-AHalpha,0.615285,0.518,0.5666425
,1.22636,0.607045,0.9167025
GstD2,#DIV/0!,#DIV/0!,#DIV/0!
Ppt1,0.61936,0.778895,0.6991275
Sgt1,0.567575,0.81607,0.6918225
Arpc3A,0.66055,0.617,0.638775
Cpr60D,6.0416,#DIV/0!,#DIV/0!
parvin,0.660065,1.070925,0.865495
larp,0.97452,0.549785,0.7621525
Irp-1A,0.409335,0.436325,0.42283
,0.92304,#DIV/0!,#DIV/0!
Hmu,0.527495,0.625455,0.576475
CG4603,0.535025,0.57514,0.5550825
,1.09702,0.90276,0.99989
scramb2,0.72515,0.62192,0.673535
Mgstl,1.2348,#DIV/0!,#DIV/0!
CG2061,0.50239,#DIV/0!,#DIV/0!
,0.898035,1.20024,1.0491375
mRpS7,0.35764,0.39324,0.37544
inaF-B,1.1048,1.422,1.2634
CG3246-RA,0.782695,0.8422,0.8124475
,1.86605,1.41625,1.64115
CG30491;CG30495,0.73508,1.107195,0.9211375
,0.48054,0.55871,0.519625
nrv2,#DIV/0!,#DIV/0!,#DIV/0!
,0.76163,1.3677,1.064665
Nckx30C,1.122815,1.4481,1.2854575
,2.2481,#DIV/0!,#DIV/0!
,0.74523,0.62017,0.6827
HP1b,1.06595,1.118325,1.0921375
Vps20,1.77105,1.4723,1.621675
,1.0772,0.92701,1.002105
qsm,1.4893,1.4494,1.46935
Dg,0.568865,1.033695,0.80128
PDCD-5,0.69906,0.793625,0.7463425
LSm-4-RB,0.76806,0.61002,0.68904
bl,0.7005,1.6521,1.1763
,1.54375,2.0044,1.774075
CREG,1.70845,1.006925,1.3576875
BM-40-SPARC,#DIV/0!,0.63943,#DIV/0!
Ntf-2,2.92625,2.29815,2.6122
CG18812-RA;CG18812,1.1882,3.6211,2.40465
CG5706,0.285965,0.31566,0.3008125
Cpr30B,0.413885,0.079512,0.2466985
NHP2,0.708645,0.72672,0.7176825
,2.1309,2.19825,2.164575
CG33054-RB,1.80255,1.3525,1.577525
,1.4403,1.3647,1.4025
Lsd-1,0.45338,0.29447,0.373925
bun,1.2002,0.91846,1.05933
,0.659355,0.76724,0.7132975
Fdxh,#DIV/0!,#DIV/0!,#DIV/0!
CG9917-RA,2.09365,1.52575,1.8097
Bet5,1.9876,#DIV/0!,#DIV/0!
Nup58,0.90439,#DIV/0!,#DIV/0!
Csp,2.14505,3.83935,2.9922
,2.388,2.6814,2.5347
,1.808,#DIV/0!,#DIV/0!
,0.662905,0.53166,0.5972825
Mmp1,0.413655,0.40629,0.4099725
mRpS22,0.51268,0.544415,0.5285475
EG:132E8.3,2.1902,#DIV/0!,#DIV/0!
tsu,1.15495,1.074235,1.1145925
LSm3,1.92285,1.15285,1.53785
,1.4292,1.16225,1.295725
twr,1.11385,1.230025,1.1719375
,0.655755,0.672925,0.66434
Tim8,#DIV/0!,2.2123,#DIV/0!
,2.5208,2.3866,2.4537
CG34191,1.22685,1.20965,1.21825
,0.658975,0.475645,0.56731
