Gene names, Alpha A53T_day_30, Control _day_30
,0.524048906,0.523083047
dnc,0.369964531,0.373100234
,0.325884063,0.327627969
Marf,0.466319688,0.467652656
Rh4,#DIV/0!,#DIV/0!
CG7766,0.31185625,0.313886875
Gycalpha99B,#DIV/0!,#DIV/0!
Pde1c,#DIV/0!,#DIV/0!
AGO1,0.612415,0.60941
Glg1,#DIV/0!,#DIV/0!
CG34325-RA,#DIV/0!,#DIV/0!
shot,#DIV/0!,#DIV/0!
mdy,0.411969219,0.413052891
Rbp,0.775452813,0.786918594
Mnn1,#DIV/0!,#DIV/0!
,0.416895938,0.418837031
,0.291487031,0.292018984
CG14757,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Srp72,0.290045469,0.289252266
pix,0.345517188,0.338341406
Cyp12c1,#DIV/0!,#DIV/0!
RabX4,#DIV/0!,#DIV/0!
Spn55B,1.01105875,1.009950625
Hmgs,0.418274688,0.419102656
Lpin,0.429323281,0.426653359
,0.763940156,0.772402422
,4.384427344,4.472421328
RagC-D,0.488817813,0.483211094
crb,#DIV/0!,#DIV/0!
CG1311,0.540490938,0.535024531
CkIalpha,0.512795156,0.514702422
Spt5,0.384241094,0.382051953
ApepP,0.244067813,0.243348594
P5cr,0.43814,0.4375825
CG18501,#DIV/0!,#DIV/0!
Naam,0.657085625,0.655852188
CG10915,0.574517969,0.576893516
Nup54,0.552325313,0.555677344
CG3800,0.236704063,0.238220469
Pdp,#DIV/0!,#DIV/0!
CG7441-RA,0.525401563,0.525509219
Hml,0.246987344,0.243496328
U2af50,0.464525313,0.465382344
amon,0.737394219,0.738055391
Sec61alpha,0.336771563,0.336819219
Mulk,0.411969375,0.413895313
CHORD,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.487656094,0.488756953
torp4a,0.428359375,0.424987813
rogdi,#DIV/0!,#DIV/0!
CG12321-RA,0.449270781,0.448749609
Drs;Drsl5,#DIV/0!,#DIV/0!
Psi,0.339164531,0.339265234
Myo31DF,0.274504219,0.272212891
,#DIV/0!,#DIV/0!
bel,0.288079219,0.288510391
,0.70164,0.7015225
eas,0.459203594,0.460218203
SelR,0.756036875,0.756141563
JhI-26,#DIV/0!,#DIV/0!
EG:100G10.7,0.982765,0.978315
Gtp-bp,0.429169844,0.431330078
,0.559029531,0.562227734
CG13601,#DIV/0!,#DIV/0!
Bap55,0.558909688,0.558867656
wuho,#DIV/0!,#DIV/0!
bsk,0.833555313,0.838132344
Rap2l,0.797263906,0.803450547
CG10306,0.441237813,0.440206094
Aats-gln,0.426589844,0.429102578
Dsk,#DIV/0!,#DIV/0!
,0.714334688,0.709720156
,0.422456406,0.424521797
Sodh-2,0.646266875,0.647271563
Pdcd4,0.461297031,0.462216484
anon-35F/36A,0.766560313,0.765859844
svr,0.882659063,0.884115469
CG16912,0.893569219,0.893712891
Mtl,0.653179688,0.652990156
,0.793106875,0.793214063
Idgf1,1.181796875,1.179401563
twf,0.435629063,0.433960469
CkIIbeta,1.058178125,1.043110938
,0.835852031,0.835333984
RanBP3,0.422067813,0.422558594
CadN,0.799265469,0.803014766
,#DIV/0!,#DIV/0!
,0.482715469,0.483894766
Ucp4A,#DIV/0!,#DIV/0!
Rpd3,0.532580156,0.531222422
UbcD4,0.460034688,0.462810156
CSN5,0.348694531,0.348370234
,1.54961875,1.546140625
Rab8,0.963225313,0.963194844
Gs1l,2.002814063,1.996267969
RpL23,0.284260625,0.285252188
Irc,#DIV/0!,#DIV/0!
,1.541020313,1.539239844
Sac1,0.411430938,0.414109531
Paf-AHalpha,0.551441719,0.549921641
,0.819934531,0.810257734
GstD2,#DIV/0!,#DIV/0!
Ppt1,0.724054844,0.726547578
Sgt1,0.730649844,0.734532578
Arpc3A,0.631970313,0.631289844
Cpr60D,#DIV/0!,#DIV/0!
parvin,0.929691875,0.936111563
larp,0.695787656,0.689151172
Irp-1A,0.427047188,0.427468906
,#DIV/0!,#DIV/0!
Hmu,0.59178125,0.593311875
CG4603,0.561350469,0.561977266
,0.969536875,0.966501563
scramb2,0.657405313,0.655792344
Mgstl,#DIV/0!,#DIV/0!
CG2061,#DIV/0!,#DIV/0!
,1.096357031,1.101078984
mRpS7,0.3810025,0.38155875
inaF-B,1.3129625,1.31791875
CG3246-RA,0.821745156,0.822674922
,1.57086875,1.563840625
CG30491;CG30495,0.979280469,0.985094766
