Gene Name,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
rpoC,32144000,27876000,16709000,25664000,27452000,21104000
gdhZ,30783000,27132000,16343000,19289000,21274000,17230000
rpoB,32908000,29162000,16587000,26168000,27069000,20876000
putA,41257000,36150000,24990000,24859000,27692000,23306000
gltB,4974600,4334200,3135400,2797400,2852700,2198300
alaS,25977000,22821000,22135000,17026000,18997000,16816000
CCNA_02721,20577000,17850000,20934000,18094000,20422000,18802000
CCNA_03686,2392400,2173800,1627700,1780400,1908500,1532500
CCNA_00974,8381500,6336900,5550900,27852000,30734000,26489000
carB,15187000,13746000,12987000,9826600,10825000,9064800
fusA,78938000,77607000,115160000,73877000,87025000,92063000
CCNA_01155,39110000,34265000,39209000,27370000,32223000,31374000
CCNA_01034,32438000,26077000,32400000,28815000,32784000,29830000
bamA,22216000,19442000,22142000,17890000,20540000,18037000
secA,14929000,13971000,7090500,7476200,8068700,6986700
tipN,4367700,3618900,2576000,2486800,2726700,2071400
chvT,90739000,78078000,90638000,57141000,67981000,61513000
ileS,13448000,11880000,13783000,9270100,10769000,10584000
vor,5473300,4233000,2290700,8118900,8645900,7223400
CCNA_00115,11631000,9914800,11898000,9800900,11554000,9783100
valS,13732000,12449000,14134000,11421000,13000000,12531000
CCNA_02661,23527000,22980000,25891000,8943500,9560100,8817000
gyrA,11505000,10578000,7356000,6535100,6962600,5953400
CCNA_03699,15839000,13990000,17287000,12903000,13749000,12751000
CCNA_03619,56575000,50960000,57258000,56087000,63270000,56171000
leuS,13157000,11229000,13937000,10638000,12081000,9527700
CCNA_00210,84788000,74826000,83174000,52580000,60419000,52519000
CCNA_01538,32160000,31150000,30126000,25075000,27433000,27082000
CCNA_02237,15879000,13934000,16803000,12576000,14567000,12960000
CCNA_01202,12197000,10427000,11765000,7716400,9013000,8109700
CCNA_02048,49058000,39173000,49360000,32922000,37190000,28999000
lptD,9479100,8036300,9228300,6886300,7827300,7025500
acnA,34861000,32097000,30708000,24461000,26697000,22795000
CCNA_03467,4725900,4038500,4508700,4347300,5045800,4627100
CCNA_00074,28618000,25369000,20890000,21748000,24294000,21245000
clpB,3096200,2661100,2150500,2630500,2944500,2469600
CCNA_03023,21427000,16771000,20222000,13398000,16069000,14267000
CCNA_02566,6278400,5275100,4864600,5508700,6281600,5776000
CCNA_03680,3936600,3459100,2414900,2625400,2759000,2329500
CCNA_00858,8151800,7645900,8152100,3381800,3389200,3248800
pnp,44609000,39469000,27114000,25531000,27157000,22888000
smc,659330,562980,485150,740640,818830,751200
CCNA_01036,9767700,8325400,9540400,9144100,10612000,8983500
CCNA_03802,9474800,8212100,11366000,10012000,9913700,9553400
CCNA_03663,10999000,9593500,6580100,6605600,7097700,5286300
thrS,21561000,18264000,16674000,12488000,13498000,12016000
dnaK,37182000,32161000,31489000,24337000,27694000,22907000
sucA,8991400,9095900,4888300,6835300,7587000,6129500
CCNA_01826,63120000,59302000,62656000,43505000,53589000,68423000
glyS,8544900,6893000,3295900,4790100,5066600,3832300
CCNA_01738,30575000,27234000,30776000,21991000,26429000,22644000
thiC,17420000,16696000,21905000,27447000,33454000,29645000
lysS,7859600,7425800,9825300,8003000,9370600,10315000
ppc,2615500,2040600,1294600,734560,778890,562880
mfd,3365900,3094900,3076200,2238600,2420900,2127200
CCNA_03205,19510000,18380000,22066000,15720000,16519000,16198000
CCNA_00451,2648400,2375100,2627000,2153900,2583300,2328000
CCNA_01676,392760,343920,356950,486370,522760,512400
clpA,5753600,4614900,1863000,3718700,4002300,3160300
CCNA_02743,17618000,14937000,17005000,14836000,18159000,15021000
CCNA_02753,11245000,10017000,10821000,4487200,5637300,4800000
CCNA_00163,8165400,6297300,2697500,4947500,5073000,3674500
CCNA_00290,16012000,13179000,16188000,12814000,14670000,12494000
bipA,17561000,15543000,18111000,12697000,14919000,12811000
CCNA_01042,22357000,18459000,22558000,12911000,16262000,13851000
CCNA_01194,2918500,2372400,2821000,2132700,2263500,1960600
uvrA,2445700,1928800,1203100,1651800,1735700,1613900
creS,10058000,8785500,9858800,7129400,8142100,7469200
CCNA_03615,6156500,5011600,6358800,6170100,7007600,5522000
groEL,87162000,84649000,57695000,65516000,65777000,54391000
CCNA_00970,5300000,4796100,5471500,3881500,4544400,3887600
malA,2441600,2090200,2512800,1664900,2077600,1869500
CCNA_02065,9279500,8626100,10080000,12088000,14152000,12566000
polA,3042000,2757700,2024800,2244000,2500900,2073700
CCNA_03702,58580000,52045000,48604000,28869000,32019000,28095000
CCNA_03444,4848400,3610600,3725600,3146500,3685000,3114500
CCNA_03574,4220400,3454800,4048300,2019400,2763200,2438900
CCNA_03839,3106000,2467500,2896300,2071300,2384300,2195500
CCNA_00214,1939200,1618500,1993500,1625500,1817600,1597900
CCNA_01029,1083900,960050,1172700,986820,1125400,1059500
CCNA_02454,885970,863560,946840,862020,993590,914930
CCNA_02250,7579400,6915700,4645200,5854900,6414300,5264400
CCNA_03227,7306500,6260800,6895100,8663400,10176000,8919100
CCNA_03149,1220400,1098000,1319400,908820,1094900,1032900
ftsH,10459000,8804500,5106900,5216500,5543900,4295300
atpA,9327000,22843000,9672900,2594300,3113200,3253600
CCNA_00028,4697800,2666500,3041700,8270200,9275100,7668000
flaY,548890,487390,534410,456930,561940,490760
CCNA_00839,5562700,4842100,5904100,3896400,4827400,4184000
rne,1114900,1348600,785330,961360,968480,964650
rpoD,5742800,4675000,2193500,3822900,3893900,3143500
CCNA_03355,3937200,3556800,4257100,3048300,3040100,3067900
tig,75684000,67961000,81530000,52333000,60415000,57668000
argS,3577700,3139100,2596300,3949800,4400100,4173500
cysI,3146000,3149600,4272300,2354500,3042500,2496600
CCNA_01109,7161900,6508200,7180500,6394900,7437700,7466400
katG,4354100,3980000,4436400,4354100,5594200,4015900
gyrB,7687200,6545300,2908600,4629600,4950300,4213600
sucC,28879000,28430000,24996000,24223000,27868000,28105000
ligA,2688000,2268200,2646100,2126200,2420500,2012900
metE,12891000,12771000,17754000,14549000,17337000,17170000
guaB,8636700,7618400,3336700,3658400,3806300,3287500
CCNA_02050,13345000,10899000,13278000,12680000,14513000,12554000
hutA,184940,127210,151280,747190,856450,629210
CCNA_02221,1920000,1582500,1689200,1376300,1511200,1193600
CCNA_03801,4350500,4053100,4433200,4436000,5087300,4849700
CCNA_02704,5114900,4658200,3182800,2311700,2455900,2035400
CCNA_00346,13788000,13175000,10289000,8061500,8661300,8483000
CCNA_00615,1883900,1646500,1819500,928900,1117200,1079200
ahcY,26899000,27640000,27038000,22119000,25850000,24580000
CCNA_00439,8906000,7710500,6242200,6091400,6406600,5183000
sdpA,1495600,1218200,884760,975990,1119800,1061000
nuoG,18749000,16271000,17440000,12493000,14102000,14533000
CCNA_01971,18930000,16075000,11501000,10570000,11155000,9158600
CCNA_01396,2991600,2645600,2843600,2399200,2701700,2596900
atpD,5517800,16162000,6051400,1473200,1700200,1950100
CCNA_03422,3884000,3529900,3963500,3699900,4085300,3721500
CCNA_03816,7276800,6750200,8545200,7801700,8024700,7763200
nusA,28873000,25760000,26251000,20069000,22242000,22547000
acrB2,3593400,3266100,2313300,2175800,2234600,1620600
CCNA_01035,11051000,9257600,10830000,11375000,12986000,11818000
CCNA_01165,1210600,1130800,1000400,1004600,1136100,1146800
CCNA_00695,2971800,2938900,3785500,2538300,2442000,2603000
purL,8310700,8193100,10462000,7685400,8967200,8699300
CCNA_03322,13172000,11148000,10408000,6393800,6957800,6339800
CCNA_03522,2333600,2155600,3212400,2724400,3183600,2765800
CCNA_00083,2200200,2049500,3384900,2422800,2926000,3254800
glmS,2981300,2745300,3989000,3474300,3970400,3986300
cheAI,3688000,3241300,3283900,2757300,3253700,3366800
CCNA_00338,4061700,3464700,3787700,5358000,6587100,5743800
CCNA_00392,6166900,6094100,7373000,7421600,8886200,10137000
CCNA_00138,4434300,3376600,4212200,3271200,3740800,3361100
pbp1A,1712100,1464600,1315500,966870,1001700,854350
pepA,2389100,1989100,2734400,3316100,3975900,3618800
CCNA_01675,895190,746810,840790,823050,955400,880690
CCNA_01859,2948900,2636700,3241600,2490100,2903900,2551200
pheT,7926600,6794400,5039600,4483300,4675000,3992900
CCNA_01444,1565600,1410800,973220,897330,1015900,875970
CCNA_02607,25402000,24935000,34629000,30849000,36767000,39457000
CCNA_02261,3792100,3400400,2268600,2823000,2964600,2189000
CCNA_01830,1395400,1098200,1595000,1189800,1325000,1091900
gatB,11918000,11262000,13935000,11047000,12769000,13698000
CCNA_02572,6912600,5796500,5085300,3878700,4138000,3335100
addA,296520,271630,224270,215380,233960,218160
CCNA_03531,4136500,3920900,3927700,3530900,4269500,3825800
tuf,63072000,59226000,93677000,59785000,75020000,75944000
guaA,4592000,4444300,5935300,4424500,5187000,4718200
pgi,4159300,3855900,5519600,4511900,4959300,4436900
CCNA_00315,2225300,1986600,1655500,1628800,1714800,1443800
CCNA_00591,2631600,2332800,2774800,2322900,2801600,2238400
CCNA_00313,4198700,3940400,4899900,4694500,5306400,5091100
metK,13588000,11866000,8744100,9833100,10758000,9106900
CCNA_01139,15937000,14078000,16390000,11772000,13629000,12636000
CCNA_00398,15022000,13277000,16362000,12950000,15096000,14565000
ptrB,3203600,3237500,4519200,3442500,3952100,5397300
CCNA_01695,225030,198080,241550,208700,256930,210180
CCNA_01083,1955000,1733600,1297700,1180000,1313200,1219500
CCNA_01180,1449200,1255400,1474200,1065600,1349800,1081700
aspS,9709800,8884400,9139100,6786100,7399800,6312100
CCNA_01593,4688100,4297500,5281300,3910200,4469700,3909900
CCNA_01196,1290200,1094000,1284900,968780,1140500,1041300
CCNA_01983,16490000,15526000,10888000,10856000,12078000,11142000
CCNA_02352,3894000,3611000,4427700,3761800,3711800,3377600
CCNA_03013,3500500,3049900,3505500,2253900,2629900,2401600
addB,375410,344520,334210,337010,357530,316490
CCNA_03414,3688300,3053200,4308900,3465800,4190300,3841300
CCNA_03642,11592000,9699500,8075700,8825900,9919500,7924000
divL,1592100,1342100,930830,1057900,1154400,978590
acsA,1189300,1048600,1773200,1391700,1707700,1664200
pbpC,514380,490320,403860,357060,404370,439330
CCNA_03548,6428700,5590400,6417100,4352600,4993200,4905700
eno,36424000,35435000,24360000,23434000,25299000,21274000
lon,1563700,1476600,589740,720240,685740,623790
metG,5207000,4771500,7729900,5698200,6659000,5836400
CCNA_00162,21952000,18258000,25540000,12183000,14066000,12077000
xylD,832980,772220,656280,570800,575710,521060
CCNA_01352,1321000,1116300,803620,964120,1050400,843660
rsaFb,8556000,7215100,8554100,6519200,7448100,6254000
fzeA,7386500,6722900,6228100,5009700,5574000,5669300
CCNA_01832,1522400,1309600,1579100,928580,962380,1002000
zwf,4120800,3819300,2656500,2046100,2257100,2107700
nuoD,11838000,10448000,8584300,7459100,8054100,6147900
sufB,3989700,3874900,4145000,3542800,3954500,3896400
ettA,4500600,4240600,3433900,3255400,3465100,3410500
CCNA_02622,7275700,6010800,6945700,6199900,7266300,6579600
serS,6577000,4973500,3614500,5804700,6639500,6108400
CCNA_00456,338070,293420,357320,289000,343360,315540
CCNA_00021,1483600,1287800,1248500,1135200,1239900,1094700
CCNA_00933,4865000,4105200,4906600,4534700,5194100,4472900
