Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2
,0.64586,0.48337,0.5028,NaN,0.45222,NaN,0.38865,0.36612,0.36247,0.26078,NaN,NaN,NaN,0.20518,0.63887,0.38143
dnc,0.28048,0.19605,0.43895,NaN,0.41803,0.31891,0.28316,0.22931,0.19095,0.23681,0.38392,0.2304,NaN,0.2204,0.22967,0.18324
,0.25264,NaN,0.36425,NaN,NaN,NaN,0.21857,0.4116,0.19204,0.15234,0.73503,0.27412,0.18546,0.23775,NaN,0.87663
Marf,0.48701,0.33366,0.57274,0.41855,0.51597,0.41046,0.30231,0.24266,0.31884,0.40584,0.34934,0.22394,NaN,0.25335,0.68891,0.50249
Rh4,1.568,0.25721,NaN,NaN,NaN,0.77382,0.086271,1.1285,0.51141,0.39017,NaN,NaN,0.64731,0.26229,NaN,0.12322
CG7766,0.22657,NaN,0.35653,NaN,NaN,NaN,0.52881,0.21784,0.10529,0.21971,0.45359,0.40661,NaN,0.26729,0.42157,0.26484
Gycalpha99B,0.238,NaN,NaN,NaN,0.50753,0.44707,0.25724,0.24528,0.2829,0.37623,NaN,0.32339,0.12757,0.27314,NaN,0.24157
Pde1c,NaN,0.36959,NaN,NaN,NaN,NaN,NaN,0.29074,0.31948,NaN,NaN,NaN,NaN,0.27413,NaN,0.21266
AGO1,0.45315,1.0241,0.2919,0.80071,0.37062,0.39691,0.30132,NaN,0.40066,1.5763,0.19819,0.44693,NaN,0.27589,0.63184,0.30407
Glg1,NaN,NaN,NaN,NaN,0.46665,NaN,NaN,NaN,NaN,NaN,0.36946,NaN,NaN,0.28326,0.18882,0.1678
CG34325-RA,NaN,NaN,0.27863,0.31836,NaN,NaN,0.38249,NaN,NaN,NaN,0.34244,0.35883,0.20029,0.28615,NaN,0.42451
